Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Pants length type (product.metafields.shopify.pants-length-type),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ensemble-homme-noir,Ensemble Décontracté Homme Noir,<p>Tenue noire élégante à col cubain pour homme. Confortable et tendance avec coupe fluide et matière légère.</p>,MaBoutique,Uncategorized,Ensemble,"chic, ensemble, homme, noir, été",true,Taille,XL,,,,,,,,,0.0,,0,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/3.jpg?v=1750607965,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-bebe-suspenders,Tenue Bébé à Bretelles en Velours,"<p _msttexthash=""6846944"" _msthash=""84"">Adorable ensemble bébé avec chemise à carreaux et short en velours à bretelles. Style rétro et confortable.</p>",MaBoutique,Uncategorized,Bébé,"bretelles, bébé, chemise, rétro, velours",true,Taille,6-12 mois,,,,,,,,,0.0,,0,deny,manual,34.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/4.jpg?v=1750608014,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
costume-femme-rouge,Costume Femme Élégant Rouge,"<p>Tailleur pantalon rouge pour femme, coupe droite avec ceinture et boutons dorés. Une pièce chic pour les événements ou le bureau.</p>",MaBoutique,Uncategorized,Costume Femme,"chic, classique, femme, rouge, tailleur, travail, élégant, été",true,Taille,S,,,,,,,,,0.0,,0,deny,manual,800.00,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/5.jpg?v=1750608060,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-enfant-coton,Lot de Pantalons Enfant en Velours Côtelé,"<p>Pantalons amples et doux pour enfants, en velours côtelé. Disponible en marron, beige et vert foncé. Confort et style au quotidien.</p>",MaBoutique,Uncategorized,Enfant,"bébé, enfant",true,Taille,90 cm,,,,,,,,,0.0,,0,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a16.52.04_147c1943.jpg?v=1750608209,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-homme-bleu,Ensemble Homme Décontracté Bleu Nuit,<p>Un ensemble deux pièces pour homme en tissu léger avec une chemise à col cubain. Parfait pour les journées d'été stylées.</p>,MaBoutique,Uncategorized,Ensemble,"bleu, chemise, ensemble, homme, été",true,Taille,L,,,,,,,,,0.0,,0,deny,manual,49.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/6.jpg?v=1750608275,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-chic-homme,Pantalon Chic Homme Bleu Nuit,<p>Ce pantalon slim bleu nuit offre une allure élégante et moderne. Idéal pour les occasions semi-formelles et estivales.</p>,MaBoutique,Uncategorized,Pantalon,"bleu, chic, homme, pantalon",true,Taille,M,,,,,,,,,0.0,,0,deny,manual,39.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/7.jpg?v=1750608332,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
chemise-femme-elegante-et-moderne,Chemise femme élégante et moderne,"<p>Chemise pour femme au style chic et contemporain, conçue avec un tissu léger et agréable à porter. Parfaite pour un look casual ou professionnel, elle allie confort et élégance avec une coupe ajustée et des détails soignés.</p>",NouRaf Touch,Uncategorized,"","bureau, casual, chemise, coton, femme, manches longues, printemps, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,129.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/598cbaedc2735f32e5d07cb1c1407bc4.jpg?v=1749569844,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
robe-enfant-verte-fraiche-et-joyeuse,Robe Enfant Verte Fraîche et Joyeuse,"<p>Cette robe verte pour enfant apporte une touche de fraîcheur et de gaieté. Confortable et légère, elle est parfaite pour jouer, se balader ou les petites occasions. Un choix coloré qui ravira les petites filles pleines de vie.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Dresses,"","enfant, robe, verte, été",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,100.00,,false,false,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/3710af0a81b850fcea833ac8e71836db.jpg?v=1749508435,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
salopette-enfant-unisexe-confortable,Salopette Enfant Unisexe Confortable,"<p>Cette salopette unisexe pour enfant allie style et praticité. Conçue dans un tissu résistant et doux, elle offre liberté de mouvement et confort pour toutes les activités, que ce soit à l’école ou en plein air. Un choix polyvalent et tendance pour vos petits.</p>",NouRaf Touch,Uncategorized,"","casual, confortable, coton, enfant, marron, mode enfant, salopette",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/724a19919972b88f2cf665390584a857.jpg?v=1749508385,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,109.00,active
robe-enfant-a-jupe-arrondie,Robe Enfant à Jupe Arrondie,"<p>Cette robe enfant à jupe arrondie offre un look adorable et confortable. Sa coupe légère et évasée permet une grande liberté de mouvement, parfaite pour les jeux et les occasions spéciales. Un choix charmant pour les petites filles pleines de joie.</p>",NouRaf Touch,Uncategorized,"","coton, enfant, robe, été",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,89.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/29e6630d80ace18cece98717261b3353.jpg?v=1749508339,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
combinaison-enfant-confortable-et-stylee,Combinaison Enfant Confortable et Stylée,"<p>Cette combinaison pour enfant allie douceur et praticité. Conçue dans un tissu léger et résistant, elle offre liberté de mouvement et confort tout au long de la journée. Parfaite pour jouer, se promener ou se détendre avec style.</p>",NouRaf Touch,Apparel & Accessories > Clothing > One-Pieces,"","blanc, combinaison, enfant, fille, manches longues",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,119.00,,false,false,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/6c0473a08fb3c77a5fa28f5dd496267b.jpg?v=1749508293,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
short-homme-classique-sport-1,T-Short Homme Classique & Sport,"<p>Ce T-short pour homme combine confort et style avec une coupe classique adaptée à un usage sportif ou décontracté. Léger et flexible, il est idéal pour les activités en plein air ou les moments de détente tout en restant élégant.</p>",NouRaf Touch,Uncategorized,"","bleu, casual, classique, homme, t-shirt",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,119.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/8d91d925cb65f39ed7da530da0ff0d21.jpg?v=1749508167,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
short-homme-classique-sport,T-Short Homme Classique & Sport,"<p>Ce short pour homme combine confort et style avec une coupe classique adaptée à un usage sportif ou décontracté. Léger et flexible, il est idéal pour les activités en plein air ou les moments de détente tout en restant élégant.</p>",NouRaf Touch,Uncategorized,"","casual, classique, homme, manches courtes, t-shirt, vert",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,129.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/5318bd08391ed13959bb9dd0df391f42.jpg?v=1749508140,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-style-blanc-elegant,Pantalon Style Blanc Élégant,<p>Ce pantalon blanc au style moderne allie simplicité et sophistication. Sa coupe ajustée et son tissu léger offrent un confort optimal tout en mettant en valeur la silhouette. Parfait pour un look frais et chic en toutes occasions.</p>,NouRaf Touch,Apparel & Accessories > Clothing > Pants > Trousers,"","blanc, bureau, chic, classique, coton, femme, habillé, homme, pantalon, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,199.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/abbbf21a9f9a51d17e9d12afc9c9e9ed.jpg?v=1749508012,1,"",false,,,,,,,,,,,,,,adults,white,,,,slim,long,,,female,,kg,,,active
ensemble-femme-bleu-gris-elegant,Ensemble Femme Bleu-Gris Élégant,<p>Cet ensemble bleu-gris pour femme allie modernité et élégance. Sa coupe raffinée et son tissu confortable en font un choix parfait pour un look professionnel ou une sortie chic. Une pièce versatile à intégrer dans votre garde-robe.</p>,NouRaf Touch,Apparel & Accessories > Clothing > Suits > Pant Suits,"","bleu, bureau, chic, coton, ensemble, femme, gris, habillé, manches longues, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,469.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/786347b31ce0f3f4934d6184d5cfce39.jpg?v=1749507952,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-classique-3-pieces-homme-marron,Ensemble Classique 3 Pièces Homme Marron,"<p>Ce magnifique ensemble 3 pièces pour homme en marron comprend une veste élégante, un gilet assorti et un pantalon bien coupé. Idéal pour les occasions formelles, les événements ou les sorties habillées, il garantit un look raffiné et professionnel.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Suits > Pant Suits,"","3 pièces, bureau, chic, classique, costume, ensemble, formel, habillé, homme, laine, marron, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,609.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/56489c2672db0fc17d7b2d70c8cb785e.jpg?v=1749507900,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-femme-beige-classique-et-chic,Ensemble Femme Beige Classique et Chic,"<p>Cet ensemble beige pour femme allie élégance et simplicité. Avec sa coupe soignée et son tissu doux, il est parfait pour un look à la fois chic et confortable. Idéal pour le bureau, les sorties ou les occasions où le style fait la différence.</p>",NouRaf Touch,Uncategorized,"","classique, coton, ensemble, femme, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,599.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/85b43893090c707dbf128a56e4809308.jpg?v=1749507856,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
robe-modeste-longue-blanc-casse,Robe Modeste Longue Blanc Cassé,"<p>Cette robe longue blanc cassé incarne l’élégance discrète. Avec sa coupe fluide et son style modeste, elle offre un look raffiné tout en assurant confort et légèreté. Parfaite pour les occasions spéciales ou une allure distinguée au quotidien.</p>",NouRaf Touch,Uncategorized,"","beige, femme, élégant, été",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,369.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/58f2f5b0157a8e7c2582c944cb20b46a.webp?v=1749507804,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-femme-tres-large-blanc-casse,Pantalon Femme Très Large Blanc Cassé,"<p>Optez pour un style fluide et tendance avec ce pantalon très large en blanc cassé. Léger et élégant, il apporte une touche de douceur et de modernité à votre tenue. Parfait pour les journées ensoleillées ou un look épuré et chic.</p>
<p> </p>",NouRaf Touch,Apparel & Accessories > Clothing > Skirts,"","classique, femme, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,299.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/23f881e4d8621e3d1d1fcc8042f75fa8.jpg?v=1749507754,1,"",false,,,,,,,,,,,,,,,beige,,,,,,,,female,,kg,,,active
antalon-large-classique-femme-marron,antalon Large Classique Femme Marron,"<p>Ce pantalon marron à coupe large incarne l’élégance décontractée. Conçu pour offrir confort et fluidité, il met en valeur la silhouette tout en assurant un look chic et tendance. Idéal pour une tenue de travail ou une sortie stylée.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Pants > Trousers,"","casual, classique, femme",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,229.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/8d9a9ab7734a8504c9bde28b690c32ed.jpg?v=1749507706,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-femme-classique-long,Pantalon Femme Classique Long,"<p>Ce pantalon long pour femme au style classique est un essentiel du dressing élégant. Sa coupe droite affine la silhouette, tandis que son tissu fluide assure un confort optimal. Parfait pour le bureau, les sorties ou une tenue chic au quotidien.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Pants > Trousers,"","bureau, femme",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,199.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/6c7249f0ec09f9e87213fb7d7ba4654f.jpg?v=1749507658,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-homme-beige-fonce-elegant,Ensemble Homme Beige Foncé Élégant,<p>Cet ensemble pour homme en beige foncé allie sobriété et modernité. Sa coupe bien structurée et son tissu confortable en font un choix idéal pour un style raffiné au quotidien. Parfait pour un look soigné sans effort.</p>,NouRaf Touch,Apparel & Accessories > Clothing > Suits > Pant Suits,"","confortable, homme",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,749.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/03d89078a2626e3c39dc066f5613a911.jpg?v=1749507591,1,"",false,,,,,,,,,,,,,,adults,beige,,,,,,,,male,,kg,,,active
ensemble-homme-marron-chic-moderne,Ensemble Homme Marron Chic & Moderne,"<p>Cet ensemble marron pour homme combine élégance et confort. Composé d’un haut à coupe soignée et d’un pantalon assorti, il est parfait pour les sorties, les occasions spéciales ou un style soigné au quotidien. Un incontournable du dressing masculin.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Pants > Trousers,"","bureau, casual, classique, homme",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,699.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/1bce2b9e8219136710799da514f01fbc_d22b2ea7-ee2d-48a5-88fb-88fe5291077c.jpg?v=1749507476,1,"",false,,,,,,,,,,,,,,adults,brown,,,,,,,,male,,kg,,,active
robe-noire-longue-a-manches-longues,Robe Noire Longue à Manches Longues,"<p>Robe longue noire, élégante et intemporelle, avec des manches longues délicates. Parfaite pour toutes les occasions, elle allie confort et sophistication pour un look chic et raffiné.</p>",NouRaf Touch,Uncategorized,"","chic, femme, manches longues, robe, élégant",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,299.00,,false,false,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/b218adad7e38383612fdbbeccf9adc3a.jpg?v=1749506591,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
robe-longue-beige-elegante-et-fluide,Robe longue beige élégante et fluide,"<p> parfaite pour un look chic et naturel. Sa coupe confortable et son tissu léger en font une pièce idéale pour toutes les occasions, du quotidien aux sorties habillées.</p>",NouRaf Touch,Apparel & Accessories > Clothing > Dresses,"","chic, femme, manches longues, élégant",true,Title,Default Title,,,,,,,,"",0.0,,9,deny,manual,679.00,,false,true,"",https://cdn.shopify.com/s/files/1/0956/5077/5334/files/6f89871fc8a131e178b29f1c0f086bee.jpg?v=1749495015,1,"",false,,,,,,,,,,,,,,adults,beige,everyday; party,a-line,silk,,,maxi,long,female,,kg,,,active
